ticker,title,result,outcome,volume_fp,open_time,close_time,preclose_candle_end_ts,preclose_prob,num_valid_candles
KXFRASUPERCUPGAME-26JAN08PSGOM-PSG,PSG vs Marseille Winner?,no,0.0,971717.0,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,1767902400,0.01,5
KXFRASUPERCUPGAME-26JAN08PSGOM-OM,PSG vs Marseille Winner?,no,0.0,422480.0,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,1767902400,0.01,5
KXFRASUPERCUPGAME-26JAN08PSGOM-TIE,PSG vs Marseille Winner?,yes,1.0,199558.0,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,1767902400,0.99,5
KXSECPRESSMENTION-26JAN09-SOMA,Will the White House Press Secretary say Somali / Somalia / Somalian at her next press briefing?,no,0.0,35960.0,2026-01-08 15:45:00+00:00,2026-01-08 20:38:29.367720+00:00,1767902400,0.01,4
KXSECPRESSMENTION-26JAN09-SELF,Will the White House Press Secretary say Self Defense at her next press briefing?,no,0.0,30485.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:45.048737+00:00,1767902400,0.01,5
KXSECPRESSMENTION-26JAN09-GREE,Will the White House Press Secretary say Greenland at her next press briefing?,no,0.0,27592.0,2026-01-08 15:45:00+00:00,2026-01-08 20:38:53.526609+00:00,1767902400,0.01,5
KXFRASUPERCUPADVANCE-26JAN08PSGOM-PSG,PSG vs Marseille,yes,1.0,27028.0,2026-01-08 15:30:00+00:00,2026-01-08 20:15:17.154264+00:00,1767902400,0.64,5
KXHOCHULMENTION-26JAN09-BUFF,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,24268.0,2026-01-08 14:35:00+00:00,2026-01-08 17:56:18.077079+00:00,1767891600,0.99,2
KXHOCHULMENTION-26JAN09-TRUM,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,22105.0,2026-01-08 14:35:00+00:00,2026-01-08 17:53:32.916923+00:00,1767891600,0.98,3
KXHOCHULMENTION-26JAN09-ICE,What will Kathy Hochul say during press conference on January 8th?,no,0.0,21680.0,2026-01-08 14:35:00+00:00,2026-01-08 17:53:50.155914+00:00,1767891600,0.04,3
KXSECPRESSMENTION-26JAN09-LEAR,Will the White House Press Secretary say Learing at her next press briefing?,no,0.0,18923.0,2026-01-08 15:45:00+00:00,2026-01-08 20:38:37.797176+00:00,1767902400,0.01,3
KXHOCHULMENTION-26JAN09-MAMD,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,18227.0,2026-01-08 15:02:00+00:00,2026-01-08 17:52:45.763694+00:00,1767891600,0.99,2
KXSECPRESSMENTION-26JAN09-TERR,Will the White House Press Secretary say Terrorist / Narcoterrorist at her next press briefing?,no,0.0,16561.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:25.663189+00:00,1767902400,0.01,4
KXSECPRESSMENTION-26JAN09-RADI,Will the White House Press Secretary say Radical Left at her next press briefing?,no,0.0,15484.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:35.920046+00:00,1767902400,0.01,4
KXHOCHULMENTION-26JAN09-MADU,What will Kathy Hochul say during press conference on January 8th?,no,0.0,15384.0,2026-01-08 14:35:00+00:00,2026-01-08 17:54:10.243848+00:00,1767891600,0.01,3
KXSECPRESSMENTION-26JAN09-POLI,Will the White House Press Secretary say Political Violence at her next press briefing?,no,0.0,14755.0,2026-01-08 15:45:00+00:00,2026-01-08 20:38:45.830779+00:00,1767902400,0.01,4
KXHOCHULMENTION-26JAN09-HEAL,What will Kathy Hochul say during press conference on January 8th?,no,0.0,14617.0,2026-01-08 14:35:00+00:00,2026-01-08 17:55:57.361664+00:00,1767891600,0.01,2
KXSECPRESSMENTION-26JAN09-BIDE,Will the White House Press Secretary say Biden at her next press briefing?,no,0.0,13296.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:01.709883+00:00,1767902400,0.01,4
KXHOCHULMENTION-26JAN09-FRAU,What will Kathy Hochul say during press conference on January 8th?,no,0.0,12321.0,2026-01-08 15:00:00+00:00,2026-01-08 17:52:58.450879+00:00,1767891600,0.01,2
KXSECPRESSMENTION-26JAN09-ICE,Will the White House Press Secretary say ICE / National Guard at her next press briefing?,yes,1.0,11245.0,2026-01-08 15:45:00+00:00,2026-01-08 20:36:14.203445+00:00,1767902400,0.99,5
KXFRASUPERCUPADVANCE-26JAN08PSGOM-OM,PSG vs Marseille,no,0.0,10199.0,2026-01-08 15:30:00+00:00,2026-01-08 20:15:17.154264+00:00,1767902400,0.39,4
KXSECPRESSMENTION-26JAN09-FRAU,Will the White House Press Secretary say Fraud at her next press briefing?,yes,1.0,10196.0,2026-01-08 15:45:00+00:00,2026-01-08 20:35:52.884879+00:00,1767902400,0.99,4
KXSECPRESSMENTION-26JAN09-STOC,Will the White House Press Secretary say Stock Market at her next press briefing?,no,0.0,8798.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:17.166192+00:00,1767902400,0.01,3
KXSECPRESSMENTION-26JAN09-BORD,Will the White House Press Secretary say Border at her next press briefing?,yes,1.0,6554.0,2026-01-08 15:45:00+00:00,2026-01-08 20:37:11.321606+00:00,1767902400,0.99,4
KXSECPRESSMENTION-26JAN09-HEAL,Will the White House Press Secretary say Healthcare at her next press briefing?,no,0.0,5907.0,2026-01-08 15:45:00+00:00,2026-01-08 20:39:09.270562+00:00,1767902400,0.01,5
KXSECPRESSMENTION-26JAN09-ILLE,Will the White House Press Secretary say Illegal Alien at her next press briefing?,yes,1.0,4724.0,2026-01-08 15:45:00+00:00,2026-01-08 20:37:00.738806+00:00,1767902400,0.99,4
KXHOCHULMENTION-26JAN09-INEQ,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,3826.0,2026-01-08 14:35:00+00:00,2026-01-08 17:54:54.287528+00:00,1767891600,0.99,2
KXHOCHULMENTION-26JAN09-BILL,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,3647.0,2026-01-08 14:35:00+00:00,2026-01-08 17:55:41.263574+00:00,1767891600,0.99,3
KXHOCHULMENTION-26JAN09-EDUC,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,2947.0,2026-01-08 14:35:00+00:00,2026-01-08 17:54:25.747147+00:00,1767891600,0.99,3
KXHOCHULMENTION-26JAN09-POLI,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,2542.0,2026-01-08 14:35:00+00:00,2026-01-08 17:55:09.260515+00:00,1767891600,0.99,2
KXHOCHULMENTION-26JAN09-ALBA,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,1946.0,2026-01-08 14:35:00+00:00,2026-01-08 17:56:33.617972+00:00,1767891600,0.99,2
KXHOCHULMENTION-26JAN09-ECON,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,1403.0,2026-01-08 14:35:00+00:00,2026-01-08 17:55:25.254997+00:00,1767891600,0.99,2
KXHOCHULMENTION-26JAN09-AFFO,What will Kathy Hochul say during press conference on January 8th?,yes,1.0,1400.0,2026-01-08 14:35:00+00:00,2026-01-08 17:53:12.722174+00:00,1767891600,0.99,3
KXEPLGOAL-26JAN08ARSLFC-LFCFWIRTZ7-1,Florian Wirtz records 1+ goals,no,0.0,25.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.344192+00:00,1767909600,0.05,1
KXEPLGOAL-26JAN08ARSLFC-ARSJTIMBE12-1,Jurrien Timber records 1+ goals,no,0.0,20.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.739401+00:00,1767909600,0.1,2
KXEPLGOAL-26JAN08ARSLFC-ARSBSAKA7-1,Bukayo Saka records 1+ goals,no,0.0,10.0,2026-01-08 19:05:00+00:00,2026-01-08 21:35:24.785120+00:00,1767902400,0.45,1
KXEPLGOAL-26JAN08ARSLFC-ARSVGYOKE14-1,Viktor Gyokeres records 1+ goals,no,0.0,10.0,2026-01-08 19:05:00+00:00,2026-01-08 21:21:24.495044+00:00,1767902400,0.3,1
KXEPLGOAL-26JAN08ARSLFC-ARSDRICE41-1,Declan Rice records 1+ goals,no,0.0,5.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.879962+00:00,1767902400,0.2,1
KXEPLGOAL-26JAN08ARSLFC-LFCCGAKPO18-1,Cody Gakpo records 1+ goals,no,0.0,5.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.917440+00:00,1767909600,0.05,1
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSLTROSS19,Liverpool at Arsenal: First Goalscorer: Leandro Trossard,no,0.0,1.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:17.954123+00:00,1767902400,0.5,1
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSBSAKA7,Liverpool at Arsenal: First Goalscorer: Bukayo Saka,no,0.0,1.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:17.755029+00:00,1767902400,0.5,1
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSVGYOKE14,Liverpool at Arsenal: First Goalscorer: Viktor Gyokeres,no,0.0,1.0,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.248333+00:00,1767902400,0.5,1
